,precision,recall,f1-score,support
Account access,1.0,1.0,1.0,102.0
Battery life,1.0,1.0,1.0,108.0
Cancellation request,1.0,1.0,1.0,97.0
Data loss,0.98989898989899,1.0,0.9949238578680203,98.0
Delivery problem,1.0,1.0,1.0,112.0
Display issue,1.0,0.9895833333333334,0.9947643979057592,96.0
Hardware issue,1.0,1.0,1.0,110.0
Installation support,1.0,1.0,1.0,106.0
Network problem,0.9908256880733946,1.0,0.9953917050691244,108.0
Payment issue,0.9905660377358491,1.0,0.995260663507109,105.0
Peripheral compatibility,1.0,1.0,1.0,99.0
Product compatibility,1.0,1.0,1.0,114.0
Product recommendation,1.0,0.9902912621359223,0.9951219512195122,103.0
Product setup,1.0,0.9905660377358491,0.995260663507109,106.0
Refund request,1.0,0.991304347826087,0.9956331877729258,115.0
Software bug,0.9827586206896551,0.991304347826087,0.987012987012987,115.0
accuracy,0.9970484061393152,0.9970484061393152,0.9970484061393152,0.9970484061393152
macro avg,0.997128083524868,0.99706558305358,0.9970855883664091,1694.0
weighted avg,0.9970755316786317,0.9970484061393152,0.9970508237859942,1694.0
